x,y,combined_info
6640.0,3223.0,Enterocyte_Cell Type
9004.0,8402.0,Enterocyte_Cell Type
8064.0,8458.0,Enterocyte_Cell Type
7338.0,7463.0,Enterocyte_Cell Type
5942.0,4024.0,Enterocyte_Cell Type
8510.0,5659.0,Enterocyte_Cell Type
6753.0,4454.0,Enterocyte_Cell Type
5014.0,2160.0,Enterocyte_Cell Type
7662.0,6239.0,Enterocyte_Cell Type
6772.0,4015.0,Enterocyte_Cell Type
7994.0,6426.0,Enterocyte_Cell Type
6312.0,74.0,Enterocyte_Cell Type
6860.0,4180.0,Enterocyte_Cell Type
7306.0,4498.0,Enterocyte_Cell Type
6839.0,2597.0,Enterocyte_Cell Type
5506.0,353.0,Enterocyte_Cell Type
6482.0,160.0,Enterocyte_Cell Type
7194.0,3613.0,Enterocyte_Cell Type
7424.0,3145.0,Enterocyte_Cell Type
8027.0,7584.0,Enterocyte_Cell Type
7288.0,7443.0,Enterocyte_Cell Type
8217.0,4777.0,Enterocyte_Cell Type
7682.0,6268.0,Enterocyte_Cell Type
7102.0,4004.0,Enterocyte_Cell Type
7068.0,7114.0,Enterocyte_Cell Type
7670.0,6936.0,Enterocyte_Cell Type
8093.0,5247.0,Enterocyte_Cell Type
8471.0,8171.0,Enterocyte_Cell Type
3585.0,6120.0,Enterocyte_Cell Type
3115.0,4347.0,Enterocyte_Cell Type
8137.0,5206.0,Enterocyte_Cell Type
8082.0,8378.0,Enterocyte_Cell Type
9154.0,9019.0,Enterocyte_Cell Type
2329.0,4448.0,Enterocyte_Cell Type
6645.0,1958.0,Enterocyte_Cell Type
7267.0,5335.0,Enterocyte_Cell Type
6544.0,2346.0,Enterocyte_Cell Type
7743.0,3988.0,Enterocyte_Cell Type
7156.0,1782.0,Enterocyte_Cell Type
6845.0,2378.0,Enterocyte_Cell Type
9169.0,8695.0,Enterocyte_Cell Type
8620.0,8538.0,Enterocyte_Cell Type
7666.0,2581.0,Enterocyte_Cell Type
6924.0,5859.0,Enterocyte_Cell Type
6726.0,2429.0,Enterocyte_Cell Type
7896.0,7760.0,Enterocyte_Cell Type
6721.0,6697.0,Enterocyte_Cell Type
7677.0,8714.0,Enterocyte_Cell Type
5914.0,2562.0,Enterocyte_Cell Type
8900.0,7601.0,Enterocyte_Cell Type
5545.0,3582.0,Enterocyte_Cell Type
5855.0,1091.0,Enterocyte_Cell Type
7910.0,7788.0,Enterocyte_Cell Type
7952.0,7466.0,Enterocyte_Cell Type
5713.0,407.0,Enterocyte_Cell Type
5429.0,1593.0,Enterocyte_Cell Type
4743.0,466.0,Enterocyte_Cell Type
3148.0,7042.0,Enterocyte_Cell Type
7992.0,4882.0,Enterocyte_Cell Type
8419.0,6956.0,Enterocyte_Cell Type
8551.0,8753.0,Enterocyte_Cell Type
7614.0,7357.0,Enterocyte_Cell Type
8545.0,5494.0,Enterocyte_Cell Type
7001.0,3318.0,Enterocyte_Cell Type
8595.0,8775.0,Enterocyte_Cell Type
8447.0,8869.0,Enterocyte_Cell Type
6117.0,1440.0,Enterocyte_Cell Type
8947.0,6783.0,Enterocyte_Cell Type
8204.0,3909.0,Enterocyte_Cell Type
7086.0,4698.0,Enterocyte_Cell Type
7890.0,7803.0,Enterocyte_Cell Type
8081.0,8140.0,Enterocyte_Cell Type
7353.0,3266.0,Enterocyte_Cell Type
6825.0,3786.0,Enterocyte_Cell Type
8150.0,5223.0,Enterocyte_Cell Type
7068.0,4359.0,Enterocyte_Cell Type
5441.0,1917.0,Enterocyte_Cell Type
7835.0,4505.0,Enterocyte_Cell Type
6856.0,2638.0,Enterocyte_Cell Type
6990.0,4685.0,Enterocyte_Cell Type
7144.0,5760.0,Enterocyte_Cell Type
5000.0,1967.0,Enterocyte_Cell Type
7523.0,8262.0,Enterocyte_Cell Type
6591.0,2461.0,Enterocyte_Cell Type
8039.0,3364.0,Enterocyte_Cell Type
5775.0,734.0,Enterocyte_Cell Type
6713.0,3578.0,Enterocyte_Cell Type
