x,y,combined_info
5014.0,2160.0,Adaptive Immune Enriched_Community
7662.0,6239.0,Mature Epithelial_Community
6772.0,4015.0,Mature Epithelial_Community
7994.0,6426.0,Mature Epithelial_Community
6312.0,74.0,CD8+ T Enriched IEL_Community
6860.0,4180.0,CD8+ T Enriched IEL_Community
7306.0,4498.0,Mature Epithelial_Community
6839.0,2597.0,Mature Epithelial_Community
5506.0,353.0,Mature Epithelial_Community
6482.0,160.0,CD8+ T Enriched IEL_Community
7194.0,3613.0,Mature Epithelial_Community
7424.0,3145.0,Mature Epithelial_Community
8027.0,7584.0,Mature Epithelial_Community
7288.0,7443.0,Secretory Epithelial_Community
8217.0,4777.0,Mature Epithelial_Community
7682.0,6268.0,Mature Epithelial_Community
7102.0,4004.0,CD8+ T Enriched IEL_Community
7068.0,7114.0,Plasma Cell Enriched_Community
7670.0,6936.0,CD8+ T Enriched IEL_Community
8093.0,5247.0,Mature Epithelial_Community
8471.0,8171.0,Mature Epithelial_Community
3585.0,6120.0,Stroma_Community
3115.0,4347.0,Secretory Epithelial_Community
8137.0,5206.0,Mature Epithelial_Community
8082.0,8378.0,Mature Epithelial_Community
9154.0,9019.0,Mature Epithelial_Community
2329.0,4448.0,Stroma_Community
6645.0,1958.0,Mature Epithelial_Community
7267.0,5335.0,CD8+ T Enriched IEL_Community
6544.0,2346.0,Mature Epithelial_Community
7743.0,3988.0,Mature Epithelial_Community
7156.0,1782.0,Mature Epithelial_Community
6845.0,2378.0,Mature Epithelial_Community
9169.0,8695.0,Mature Epithelial_Community
8620.0,8538.0,Mature Epithelial_Community
7666.0,2581.0,Mature Epithelial_Community
6924.0,5859.0,Mature Epithelial_Community
6726.0,2429.0,Mature Epithelial_Community
7896.0,7760.0,Mature Epithelial_Community
6721.0,6697.0,Adaptive Immune Enriched_Community
7677.0,8714.0,Plasma Cell Enriched_Community
5914.0,2562.0,CD8+ T Enriched IEL_Community
8900.0,7601.0,Mature Epithelial_Community
5545.0,3582.0,Adaptive Immune Enriched_Community
5855.0,1091.0,Mature Epithelial_Community
7910.0,7788.0,Mature Epithelial_Community
7952.0,7466.0,Mature Epithelial_Community
5713.0,407.0,Mature Epithelial_Community
5429.0,1593.0,CD8+ T Enriched IEL_Community
4743.0,466.0,CD8+ T Enriched IEL_Community
3148.0,7042.0,Stroma_Community
7992.0,4882.0,Mature Epithelial_Community
8419.0,6956.0,Mature Epithelial_Community
8551.0,8753.0,Mature Epithelial_Community
7614.0,7357.0,Mature Epithelial_Community
8545.0,5494.0,Mature Epithelial_Community
7001.0,3318.0,Mature Epithelial_Community
8595.0,8775.0,Mature Epithelial_Community
8447.0,8869.0,Mature Epithelial_Community
6117.0,1440.0,CD8+ T Enriched IEL_Community
8947.0,6783.0,CD66+ Mature Epithelial_Community
8204.0,3909.0,Mature Epithelial_Community
7086.0,4698.0,CD8+ T Enriched IEL_Community
7890.0,7803.0,Mature Epithelial_Community
8081.0,8140.0,Mature Epithelial_Community
7353.0,3266.0,Mature Epithelial_Community
6825.0,3786.0,Mature Epithelial_Community
8150.0,5223.0,Mature Epithelial_Community
7068.0,4359.0,Mature Epithelial_Community
5441.0,1917.0,CD8+ T Enriched IEL_Community
7835.0,4505.0,Mature Epithelial_Community
6856.0,2638.0,Mature Epithelial_Community
6990.0,4685.0,CD8+ T Enriched IEL_Community
7144.0,5760.0,Mature Epithelial_Community
5000.0,1967.0,Adaptive Immune Enriched_Community
7523.0,8262.0,CD8+ T Enriched IEL_Community
6591.0,2461.0,Mature Epithelial_Community
8039.0,3364.0,Mature Epithelial_Community
5775.0,734.0,Innate Immune Enriched_Community
6713.0,3578.0,Mature Epithelial_Community
8039.0,8330.0,Mature Epithelial_Community
6840.0,406.0,Mature Epithelial_Community
6564.0,3635.0,Innate Immune Enriched_Community
6371.0,2034.0,Mature Epithelial_Community
8071.0,5115.0,Mature Epithelial_Community
